OBJECTID,Identificador unico del sector catastral,Tipo de sector catastral,Nombre del sector catastral,coord_x,coord_y
2383,002430,0,LAS BRISAS,"-74,16641354400002","4,57134597665012"
2384,004402,0,REMANSO,"-74,11324475149999","4,602699859151153"
2385,208101,2,PARAMO IV,"-74,0191801865","4,6728152861534245"
2386,006320,0,CIUDAD HAYUELOS,"-74,128850691","4,657527543152911"
2387,007403,0,SAN FELIPE,"-74,064084793","4,662951282153128"
2389,009266,0,RINCÓN ALTAMAR,"-74,09252940249999","4,719819456154938"
2390,004527,0,NUEVA GRANADA BOSA,"-74,19244544949998","4,60052113015108"
2391,001318,0,QUINDÍO,"-74,07989859949998","4,537465813649023"
2392,002515,0,SAN FRANCISCO,"-74,14911485649998","4,5627588771498395"
2393,008426,0,SAN GABRIEL NORTE II,"-74,02698484300001","4,7009848986543386"
2394,004513,0,SAN DIEGO-BOSA,"-74,20999718299998","4,61195339215145"
2395,102118,1,LAS VIOLETAS RURAL,"-74,07441587550002","4,491073585647512"
2397,102110,1,EL PORVENIR DE LOS SOCHES,"-74,09114566049999","4,4853492646473185"
2399,104127,1,EL MOCHUELO IV,"-74,15227409900001","4,536326562148984"
2400,202203,2,BOLONIA I,"-74,096007883","4,509536640648123"
2401,002422,0,ATLANTA,"-74,15247717649999","4,584713209150561"
2402,001305,0,ATENAS,"-74,09286978899999","4,557188317649682"
2403,004572,0,CORREDOR FÉRREO DEL SUR,"-74,13689115050002","4,609867182151392"
2404,004514,0,CIUDAD KENNEDY NORTE,"-74,15351997849999","4,62906754865199"
2405,002569,0,ARBORIZADORA ALTA,"-74,166822849","4,5626894601498424"
2406,008103,0,LA MERCED,"-74,06552858250001","4,620954514151738"
2407,006204,0,ESTACIÓN CENTRAL,"-74,0916820795","4,618499758651666"
2408,006108,0,SAMPER MENDOZA,"-74,081716298","4,619369454651687"
2409,008201,0,QUINTA CAMACHO,"-74,05944901450002","4,655027645152862"
2410,004621,0,CHUCUA DE LA VACA I,"-74,166895837","4,62536862215188"
2412,005628,0,GARCÉS NAVAS ORIENTAL,"-74,118160319","4,71027968915465"
2413,006507,0,NUEVO TECHO,"-74,13583497549999","4,646358683152552"
2414,006307,0,MONTEVIDEO,"-74,11721271050001","4,645287635652541"
2415,002643,0,EL SALTEADOR,"-74,103462791","4,48405385464727"
2418,004559,0,EL CARMELO,"-74,176652585","4,620070964151712"
2419,002583,0,QUIBA URBANO,"-74,14378637049998","4,534269470648903"
2420,004591,0,EL PORTAL DEL BRASIL,"-74,186218951","4,630163421652027"
2421,101308,1,CHIGUAZA RURAL,"-74,083513375","4,525145365648596"
2423,002582,0,BELLA FLOR SUR,"-74,158730112","4,545182726149275"
2424,002432,0,ARBORIZADORA BAJA,"-74,1474173695","4,573904939650214"
2425,009235,0,CIUDAD HUNZA,"-74,08707773949999","4,7211651786549975"
2426,002537,0,CHUNIZA,"-74,10937305050001","4,50477951164796"
2427,002556,0,DESARROLLO BRAZUELOS I,"-74,11768464100001","4,498066042647734"
2428,003202,0,LAS CRUCES,"-74,08031412349999","4,587408166650656"
